Team,Initial Elo,Championships,Probability
Gettysburg,2267.63,430,0.43
Dickinson,2269.28,296,0.296
Swarthmore,2234.7,215,0.215
Muhlenberg,2073.36,39,0.039
Franklin & Marshall,2031.08,20,0.02
